,chemicalFormula,licenses,names,preparation,references,Axis Length,Axis Length-conditions,Axis Length-units,Bulk Modulus,Bulk Modulus-conditions,Bulk Modulus-maximum,Bulk Modulus-minimum,Bulk Modulus-units,Cell Angle,Cell Angle-conditions,Cell Angle-units,Chemical Family,Commercial Name,Compressive Strength,Compressive Strength-conditions,Compressive Strength-maximum,Compressive Strength-minimum,Compressive Strength-units,Corrosion Activtn Energy,Corrosion Activtn Energy-conditions,Corrosion Activtn Energy-units,Corrosion Rate,Corrosion Rate-conditions,Corrosion Rate-units,Corrosion Species,Corrosion Species-conditions,Creep Activatn Energy,Creep Activatn Energy-conditions,Creep Activatn Energy-units,Creep Rate,Creep Rate Exponent,Creep Rate Exponent-conditions,Creep Rate-conditions,Creep Rate-units,Crystal Cell System,Crystal Cell System-conditions,Crystallinity,Debye Temperature,Debye Temperature-conditions,Debye Temperature-units,Density,Density-conditions,Density-maximum,Density-minimum,Density-units,Diffusion Coefficient,Diffusion Coefficient-conditions,Diffusion Coefficient-units,Dopant,Dopant-conditions,Elastic Modulus,Elastic Modulus-conditions,Elastic Modulus-maximum,Elastic Modulus-minimum,Elastic Modulus-units,Elasticity Tensor,Elasticity Tensor-conditions,Elasticity Tensor-units,Electrical Resistivity Log,Electrical Resistivity Log-conditions,Electrical Resistivity Log-units,Flexural Strength,Flexural Strength-conditions,Flexural Strength-maximum,Flexural Strength-minimum,Flexural Strength-units,Fracture Energy,Fracture Energy-conditions,Fracture Energy-units,Fracture Toughness,Fracture Toughness-conditions,Fracture Toughness-maximum,Fracture Toughness-minimum,Fracture Toughness-units,Friction Coefficient,Friction Coefficient-conditions,Friction Coefficient-maximum,Friction Coefficient-minimum,Grain Size,Grain Size-conditions,Grain Size-maximum,Grain Size-minimum,Grain Size-units,Grinding Rat,Grinding Rat-conditions,Grinding Rat-units,Gruneisen Parameter,Gruneisen Parameter-conditions,Hardness,Hardness-conditions,Hardness-maximum,Hardness-minimum,Hardness-units,Impurity,Impurity-conditions,InChI,Log Wear Coefficient,Log Wear Coefficient-conditions,Log Wear Rate,Log Wear Rate-conditions,Log Wear Rate-units,Manufacturer,Maximum-Use Temperature,Maximum-Use Temperature-conditions,Maximum-Use Temperature-units,Melting Point Temperature,Melting Point Temperature-conditions,Melting Point Temperature-units,Phase,Phase-conditions,Poissons Ratio,Poissons Ratio-conditions,Poissons Ratio-maximum,Poissons Ratio-minimum,Porosity,Porosity-conditions,Porosity-units,Production Form,Relative Atomic Coordinate,Relative Atomic Coordinate-conditions,SMILES,Shear Modulus,Shear Modulus-conditions,Shear Modulus-units,Sintering Aid,Sintering Aid-conditions,Sound Velocity,Sound Velocity-conditions,Sound Velocity-units,Space Group,Space Group-conditions,Specific Heat,Specific Heat-conditions,Specific Heat-units,Tensile Strength,Tensile Strength-conditions,Tensile Strength-maximum,Tensile Strength-minimum,Tensile Strength-units,Thermal Conductivity,Thermal Conductivity-conditions,Thermal Conductivity-units,Thermal Diffusivity,Thermal Diffusivity-conditions,Thermal Diffusivity-units,Thermal Expansion,Thermal Expansion-conditions,Thermal Expansion-units,Thermal Shock Resistance,Thermal Shock Resistance-conditions,Thermal Shock Resistance-units,Weibull Modulus,Weibull Modulus-conditions,Weibull Strength,Weibull Strength-conditions,Weibull Strength-units
430,Er2O3,[{'name': 'NIST_SRD-30'}],['Erbia'],[{'name': 'Sintering'}],"[{'citation': 'Elastic Properties of Polycrystalline Yttrium Oxide, Dysprosium Oxide, Holmium Oxide, and Erbium Oxide:  Room Temperature Measurements, W.R. Manning, O. Hunter, Jr., and B.R. Powell, Jr., Journal of the American Ceramic Society, Vol. 52 8, pp. 436-442 (1969), published by American Ceramic Society.'}]",,,,,,,,,,,,Er-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,"[{'name': 'Volume Fraction of Porosity', 'scalars': [{'value': '5.0'}, {'value': '5.4'}, {'value': '5.4'}, {'value': '5.6'}, {'value': '6.1'}, {'value': '6.2'}, {'value': '6.5'}, {'value': '6.8'}, {'value': '7.9'}, {'value': '8.6'}, {'value': '9.0'}, {'value': '12.3'}, {'value': '14.3'}, {'value': '15.4'}, {'value': '17.1'}, {'value': '17.4'}, {'value': '18.7'}, {'value': '19.0'}, {'value': '19.5'}, {'value': '19.9'}, {'value': '20.5'}], 'units': '%'}]",GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Hot Pressing'}],"[{'citation': 'The Evaluation of Environmental Effects in Toughened Ceramics for Advanced Heat Engines Investigation of Selected SiC and Si3N4 Ceramics, N.L.Hecht, G.A.Graves, D.E.McCullum, A.P.Berens, S.Goodrich, J.D.Wolf, J.R.Hoenigman, P.Yaney, D.Grant, and S.Hilton, ORNL Report Number:  ORNL/Sub/84-00221/2, pp. 1-111 (1990), published by Oak Ridge National Laboratory.'}]",,,,,,,,,,,,Si-C,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,500,"[{'name': 'Range', 'scalars': [{'minimum': '300', 'maximum': '800'}, {'minimum': '175', 'maximum': '575'}], 'units': 'MPa'}, {'name': 'Temperature', 'scalars': [{'value': '23'}, {'value': '1400'}], 'units': '$^{\\circ}$C'}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,SiC,[{'name': 'NIST_SRD-30'}],['Silicon carbide'],[{'name': 'Reaction Bonding'}],"[{'citation': 'Durability of Non-Oxide Ceramics in Simulated Heat Treatment Environments, R.E. Tressler and K.E. Spear, Projects Within the Center for Advanced Materials, pp. 127-137 (1990), edited by J.R. Hellmann and B.K. Kennedy, published by Center for Advanced Materials, Pennsylvania State University.'}]",,,,,,,,,,,,Si-C,SCRB210,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,242,"[{'name': 'Exposure Temperature', 'scalars': [{'value': '1200'}, {'value': '1300'}, {'value': '1200'}, {'value': '1300'}, {'value': '1300'}, {'value': '1200'}, {'value': '1300'}], 'units': '$^{\\circ}$C'}, {'name': 'Exposure Time', 'scalars': [{'value': '150'}, {'value': '150'}, {'value': '100'}, {'value': '100'}, {'value': '100'}, {'value': '100'}, {'value': '100'}], 'units': 'h'}, {'name': 'Gas Pressure', 'scalars': [{'value': '0.13'}, {'value': '0.13'}, {'value': '101'}, {'value': '101'}, {'value': '0.13'}, {'value': '101'}, {'value': '101'}], 'units': 'kPa'}, {'name': 'Gas Type', 'scalars': [{'value': 'N2-based'}, {'value': 'N2-based'}, {'value': 'N2-based'}, {'value': 'N2-based'}, {'value': 'Endothrmic'}, {'value': 'Endothrmic'}, {'value': 'Endothrmic'}]}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coors Porcelain Company,,,,,,,,,,,,,,,,Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,ZrO2.xY2O3,[{'name': 'NIST_SRD-30'}],['Zirconia'],,"[{'citation': 'Youngs Modulus, Flexural Strength, and Fracture  of Yttria-Stabilized Zirconia versus Temperature, J.W. Adams, R. Ruh, and K.S. Mazdiyasni, Journal of the American Ceramic Society, Vol. 80 4, pp. 903-908 (1997), published by American Ceramic Society.'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,319,"[{'name': 'Processing Condition', 'scalars': [{'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Hot Pressed'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}, {'value': 'Sintered'}]}, {'name': 'Density', 'scalars': [{'value': '5.959'}, {'value': '5.959'}, {'value': '5.959'}, {'value': '5.959'}, {'value': '5.959'}, {'value': '5.959'}, {'value': '5.959'}, {'value': '5.959'}, {'value': '5.959'}, {'value': '5.959'}, {'value': '5.958'}, {'value': '5.958'}, {'value': '5.958'}, {'value': '5.958'}, {'value': '5.878'}, {'value': '5.878'}, {'value': '5.878'}, {'value': '5.878'}, {'value': '5.878'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.630'}, {'value': '5.621'}, {'value': '5.621'}, {'value': '5.621'}, {'value': '5.621'}, {'value': '5.621'}, {'value': '5.621'}, {'value': '5.621'}, {'value': '5.621'}, {'value': '5.621'}, {'value': '5.621'}, {'value': '5.802'}, {'value': '5.802'}, {'value': '5.802'}, {'value': '5.802'}, {'value': '5.802'}, {'value': '5.802'}, {'value': '5.802'}, {'value': '5.802'}, {'value': '5.802'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}, {'value': '5.604'}], 'units': 'g/cm$^{3}$'}, {'name': 'Grain Size', 'scalars': [{'value': '1.0'}, {'value': '1.0'}, {'value': '1.0'}, {'value': '1.0'}, {'value': '1.0'}, {'value': '1.0'}, {'value': '1.0'}, {'value': '1.0'}, {'value': '1.0'}, {'value': '1.0'}, {'value': '3.0'}, {'value': '3.0'}, {'value': '3.0'}, {'value': '3.0'}, {'value': '3.0'}, {'value': '3.0'}, {'value': '3.0'}, {'value': '3.0'}, {'value': '3.0'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '15'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}, {'value': '50'}], 'units': '$\\mu$m'}, {'name': 'Temperature', 'scalars': [{'value': '23'}, {'value': '23'}, {'value': '490'}, {'value': '520'}, {'value': '745'}, {'value': '996'}, {'value': '991'}, {'value': '1015'}, {'value': '1292'}, {'value': '1521'}, {'value': '23'}, {'value': '489'}, {'value': '718'}, {'value': '972'}, {'value': '23'}, {'value': '23'}, {'value': '492'}, {'value': '995'}, {'value': '1297'}, {'value': '23'}, {'value': '23'}, {'value': '37'}, {'value': '18'}, {'value': '18'}, {'value': '244'}, {'value': '494'}, {'value': '745'}, {'value': '994'}, {'value': '1249'}, {'value': '1249'}, {'value': '1273'}, {'value': '1504'}, {'value': '23'}, {'value': '23'}, {'value': '23'}, {'value': '114'}, {'value': '365'}, {'value': '745'}, {'value': '1018'}, {'value': '1225'}, {'value': '1249'}, {'value': '1244'}, {'value': '23'}, {'value': '23'}, {'value': '243'}, {'value': '489'}, {'value': '489'}, {'value': '744'}, {'value': '970'}, {'value': '1283'}, {'value': '1493'}, {'value': '23'}, {'value': '23'}, {'value': '90'}, {'value': '196'}, {'value': '287'}, {'value': '393'}, {'value': '495'}, {'value': '769'}, {'value': '970'}, {'value': '1220'}, {'value': '1220'}, {'value': '1499'}], 'units': '$^{\\circ}$C'}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,AlN.xSiC.yY2O3,[{'name': 'NIST_SRD-30'}],['Aluminum nitride composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Mechanical Properties of Monolithic AlN and SiCw/AlN Composites, C.K. Unni and D.E. Gordon, Journal of Materials Science, Vol. 30, pp. 1173-1179 (1995), published by Chapman and Hall.'}]",,,,,,,,,,,,"Al-N:SiC,Y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,"[{'name': 'Density', 'scalars': [{'value': '3.18'}, {'value': '3.24'}, {'value': '3.26'}], 'units': 'g/cm$^{3}$'}, {'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,ZrO2,[{'name': 'NIST_SRD-30'}],['Zirconia'],,"[{'citation': 'Monoclinic Crystal Structures of ZrO2 and HfO2 Refined from X-ray Powder Diffraction Data, R.E. Hann, P.R. Suitch, and J.L. Pentecost, Journal of the American Ceramic Society, Vol. 68 10, pp. C-285-C-286 (1985), published by American Ceramic Society.'}]",5.1505,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}, {'name': 'Axis', 'scalars': [{'value': 'a'}, {'value': 'b'}, {'value': 'c'}]}]",$\AA$,,,,,,,,,Zr-O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magnesium Electron, Inc.",,,,,,,,,,,,,,,,Powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,ZrO2.xMgO,[{'name': 'NIST_SRD-30'}],['Zirconia (PSZ)'],[{'name': 'Sintering'}],"[{'citation': 'The Effects of Notch Width on the SENB Toughness for Oxide Ceramics, J. Wang, W.M. Rainforth, T. Wadsworth, and R. Stevens, Journal of the European Ceramic Society, Vol. 10, pp. 21-31 (1992), published by Elsevier Science Limited.'}]",,,,,,,,,,,,Zr-O:MgO,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,"[{'name': 'Grain Size', 'scalars': [{'value': '50'}], 'units': '$\\mu$m'}, {'name': 'Notch Width', 'scalars': [{'value': '240'}, {'value': '490'}, {'value': '800'}, {'value': '1800'}], 'units': '$\\mu$m'}, {'name': 'Specimen Number', 'scalars': [{'value': 'I'}]}]",,,MPa m$^{1/2}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,UO2,[{'name': 'NIST_SRD-30'}],['Uranium dioxide'],[{'name': 'Sintering'}],"[{'citation': 'In-Reactor Measurements of the Modulus of Elasticity of Uranium Dioxide, V.M. Baranov, Yu.K. Bibilashvili, I.S. Golovnin, V.N. Kakurin, T.S. Menshikova, Yu.V. Miloserdin, and A.V. Rimashevskii, Soviet Atomic Energy, Vol. 40 1, pp. 37-39 (1976), published by Plenum Publishing Corporation.'}]",5.475,"[{'name': 'Axis', 'scalars': [{'value': 'a'}]}]",$\AA$,,,,,,,,,U-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Y2O3.xThO2,[{'name': 'NIST_SRD-30'}],['Yttria'],[{'name': 'Sintering'}],"[{'citation': 'Temperature Dependence of the Elastic Moduli of 91Y2O3 + 9ThO2 from 25°  to 1100 °C, R.W. Dickson and R.C. Anderson, Journal of the American Ceramic Society, Vol. 51, pp. 233-234 (1968), published by American Ceramic Society.'}]",,,,,,,,,,,,Y-O:ThO,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295,"[{'name': 'Temperature', 'scalars': [{'value': '25'}, {'value': '100'}, {'value': '200'}, {'value': '300'}, {'value': '400'}, {'value': '500'}, {'value': '600'}, {'value': '700'}, {'value': '800'}, {'value': '900'}, {'value': '1000'}, {'value': '1087'}], 'units': '$^{\\circ}$C'}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,3Al2O3.2SiO2,[{'name': 'NIST_SRD-30'}],['Mullite'],[{'name': 'Sintering'}],"[{'citation': 'Microstructure and Mechanical Properties of Mullite Prepared by the Sol-Gel Method, M.G.M.U. Ismail, Z. Nakai, and S. Somiya, Journal of the American Ceramic Society, Vol. 70 1, pp. C-7-C-8 (1987), published by American Ceramic Society.'}]",,,,,,,,,,,,Al-Si-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,246,"[{'name': 'Specimen Density', 'scalars': [{'value': '3.15'}], 'units': 'g/cm$^{3}$'}, {'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,3Al2O3.2SiO2.xSiC,[{'name': 'NIST_SRD-30'}],['Mullite composite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Creep of Hot-Pressed SiC Whisker Reinforced Mullite, R.D. Nixon, S. Chevacharoenkul, R.F. Davis, and T.N. Tiegs, Ceramic Transactions, Vol. 6, pp. 579-603 (1990), edited by S. Somiya, R.F. Davis, and J.A. Pask, published by American Ceramic Society.'}]",,,,,,,,,,,,Al-Si-O:SiC,,,,,,,,,,,,,,,385,"[{'name': 'Applied Stress', 'scalars': [{'value': '100'}], 'units': 'MPa'}, {'name': 'Temperature Range', 'scalars': [{'minimum': '1520', 'maximum': '1560'}], 'units': 'K'}, {'name': 'Sample Number', 'scalars': [{'value': 'MW1'}]}]",kJ mol$^{-1}$,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,3Al2O3.2SiO2,[{'name': 'NIST_SRD-30'}],['Mullite'],[{'name': 'Hot Pressing'}],"[{'citation': 'Crystal Structure and Compressibility of 3:2 Mullite, D. Balzar and H. Ledbetter, American Mineralogist, Vol. 78, pp. 1192-1196 (1993), published by Allen Press, Inc..'}]",,,,,,,,,,,,Al-Si-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,3.156,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,g cm$^{-3}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,TiB2,[{'name': 'NIST_SRD-30'}],['Titanium diboride'],[{'name': 'Hot Pressing'}],"[{'citation': 'Preparation of TiB2 Sintered Compacts by Hot Pressing, H. Itoh, S. Naka, T. Matsudaira, and H. Hamamoto, Journal of Materials Science, Vol. 25, pp. 533-536 (1990), published by Chapman and Hall.'}]",,,,,,,,,,,,Ti-B,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,4.47,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,g cm$^{-3}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,ZrO2.xY2O3,[{'name': 'NIST_SRD-30'}],['Zirconia (PSZ)'],[{'name': 'Crystal Growth'}],"[{'citation': 'Thermal Expansion Behavior of Single-Crystal Zirconia, J.W. Adams, H.H. Nakamura, R.P. Ingel, and R.W. Rice, Journal of the American Ceramic Society, Vol. 68 9, pp. C-228-C-231 (1985), published by American Ceramic Society.'}]",,,,,,,,,,,,Zr-O:Y,,,,,,,,,,,,,,,,,,,,,,,,,Single Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33,"[{'name': 'Temperature Range', 'scalars': [{'minimum': '640', 'maximum': '1500'}, {'minimum': '560', 'maximum': '1500'}, {'minimum': '20', 'maximum': '1500'}, {'minimum': '20', 'maximum': '1500'}, {'minimum': '20', 'maximum': '1500'}, {'minimum': '20', 'maximum': '1500'}, {'minimum': '20', 'maximum': '1500'}, {'minimum': '20', 'maximum': '1500'}], 'units': '$^{\\circ}$C'}, {'name': 'Mass Fraction of Dopant', 'scalars': [{'value': '3'}, {'value': '4'}, {'value': '5'}, {'value': '6'}, {'value': '7'}, {'value': '8'}, {'value': '12'}, {'value': '20'}], 'units': '%'}, {'name': 'Dopant', 'scalars': [{'value': 'Y2O3'}]}]",x10$^{-6}$,,,,,,,,
444,MgO,[{'name': 'NIST_SRD-30'}],['Magnesia'],,"[{'citation': 'Engineering Properties of Single Oxides, M. Miyayama, K. Koumoto, and H. Yanagida, Engineered Materials Handbook, Vol. 4, pp. 748-757 (1991), edited by S.J. Schneider, Jr., published by ASM International.'}]",,,,,,,,,,,,Mg-O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,"[{'name': 'Specimen Type', 'scalars': [{'value': 'Single Crystal'}, {'value': 'Polycrystal'}]}, {'name': 'Temperature', 'scalars': [{'value': '20'}], 'units': '$^{\\circ}$C'}]",,,MPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,AlN,[{'name': 'NIST_SRD-30'}],['Aluminum nitride'],[{'name': 'Sintering'}],"[{'citation': 'Thermal and Mechanical Properties of Neutron-Irradiated Aluminum Nitride, T. Yano and T. Iseki, Journal of Nuclear Materials, Vol. 179, pp. 387-390 (1991), published by Elsevier Science B.V..'}]",,,,,,,,,,,,Al-N,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tokuyama Soda Co.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,"[{'name': 'Volume Swelling', 'scalars': [{'value': '0.00'}, {'value': '0.32'}, {'value': '0.63'}], 'units': '%'}]",cm$^{2}$ s$^{-1}$,,,,,,,,,,,
446,BeO,[{'name': 'NIST_SRD-30'}],['Beryllia'],,"[{'citation': 'Green Light to Aluminum Nitride, P.T.B. Shaffer, J.R. Schorr, and R.L. Hexemer, Ceramic Industry, Vol. 132 5, pp. 25-27 (1989), published by Corcoran Communications, Inc..'}]",,,,,,,,,,,,Be-O,,,,,,,,,,,,,,,,,,,,,,,,,Polycrystalline,,,,,,,,,,,,,,378,"[{'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': '$^{\\circ}$C'}]",,,GPa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
